DIA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,499.6,441.7,500.2,615.8,1020.3,1020.3,904.7,962.5,1932.1,1479.8,1027.6,1660.7
2,499.6,418.5,904.7,615.8,848.5,1020.3,1020.3,1020.3,846.7,1072.8,1118,1796.4
3,499.6,418.5,558,558,1137.5,962.5,1020.3,1020.3,801.5,937.1,1118,1886.8
4,731.1,418.5,558,731.3,1253.1,1367,1020.3,1135.8,937.1,891.9,1027.6,1751.2
5,673.2,441.7,673.5,673.5,1021.9,1020.3,1251.4,1020.3,891.9,1389.4,1163.3,1660.7
6,673.2,441.7,558,558,906.3,962.5,1482.5,962.5,846.7,891.9,1072.8,1660.7
7,731.1,441.7,558,558,1021.9,904.7,1193.6,904.7,801.5,937.1,1027.6,1570.3
8,731.1,442.4,558,558,1484.3,1251.4,1135.8,904.7,756.2,846.7,1072.8,1479.8
9,673.2,442.4,558,846.9,1253.1,904.7,1020.3,846.9,756.2,846.7,1027.6,1479.8
10,615.3,442.4,558,558,1426.5,1309.2,962.5,846.9,756.2,937.1,982.4,1479.8
11,615.3,442.4,558,615.8,1484.3,1135.8,962.5,846.9,846.7,891.9,2112.9,1479.8
12,615.3,442.4,500.2,1251.4,1253.1,1020.3,904.7,846.9,1118,1027.6,1163.3,1389.4
13,557.5,442.4,500.2,904.7,1137.5,962.5,904.7,846.9,1163.3,982.4,1027.6,1389.4
14,557.5,442.4,558,846.9,1079.7,1020.3,904.7,789.1,1163.3,937.1,1389.4,1434.6
15,557.5,442.4,500.2,731.3,1021.9,1135.8,1078,789.1,1389.4,891.9,2112.9,1344.1
16,557.5,442.4,500.2,789.1,1020.3,1135.8,1251.4,789.1,1072.8,891.9,1208.5,1344.1
17,499.6,442.4,500.2,846.9,1020.3,1020.3,1251.4,789.1,982.4,937.1,1932.1,1253.7
18,499.6,442.4,673.5,731.3,1135.8,962.5,1135.8,731.3,937.1,1118,1932.1,1253.7
19,499.6,442.4,558,673.5,1020.3,904.7,1020.3,731.3,937.1,1027.6,2203.4,1253.7
20,499.6,384.6,500.2,615.8,962.5,1020.3,1020.3,731.3,891.9,982.4,2203.4,1208.5
21,499.6,673.5,500.2,558,904.7,1020.3,962.5,673.5,891.9,937.1,1932.1,1434.6
22,499.6,962.5,500.2,558,904.7,962.5,1020.3,756.2,846.7,891.9,1751.2,1479.8
23,499.6,904.7,500.2,558,789.1,904.7,1020.3,756.2,846.7,1027.6,1660.7,1389.4
24,557.5,615.8,500.2,1367,789.1,846.9,1078,756.2,846.7,891.9,1615.5,1389.4
25,499.6,731.3,500.2,1078,789.1,904.7,2407.1,756.2,846.7,1027.6,1615.5,1298.9
26,557.5,615.8,500.2,846.9,962.5,2060.4,1078,756.2,846.7,891.9,1660.7,1208.5
27,499.6,558,442.4,904.7,789.1,1078,1135.8,756.2,801.5,1027.6,1570.3,1208.5
28,499.6,558,615.8,1713.7,789.1,1020.3,1135.8,756.2,801.5,982.4,1751.2,1298.9
29,499.6,500.2,500.2,1078,846.9,962.5,1078,756.2,891.9,1389.4,1751.2,1208.5
30,499.6,,500.2,904.7,1020.3,962.5,1020.3,937.1,801.5,1027.6,1751.2,1163.3
31,499.6,,615.755,,846.9,,1020.3,756.2,,974.1,,2203.4
TOTAL,17397,14835.5,17008.13,23846.7,31940.3,31763.2,34401.4,25932.6,28249.8,30987.7,44982.5,45060.4
MAX.,731.1,962.5,904.7,1713.7,1484.3,2060.4,2407.1,1135.8,1932.1,1479.8,2203.4,2203.4
MIN.,499.58,384.6,442.4,558,789.1,846.9,904.7,673.5,756.2,846.7,982.4,1163.3
PROM.,561.19,511.6,548.6,794.9,1030.3,1058.8,1109.7,836.5,941.7,999.6,1499.4,1453.6
