"pais","cajeros17","camas14","cto_pib16","densidad17","desempleo17","deuda16","electri16","fertil16","gasto_edu16","gasto_id16","gasto_militar17","pib16","pm2517","pobRural17","tierrasCult16"
"Afganistán",1.27466705619395,0.5,2.2603142045464,54.4222053732806,1.55900001525879,NA,84.1371383666992,12.1823004269634,4.20524978637695,NA,0.906856941213615,19046357714.4928,56.9108083545081,74.75,11.8386790429801
"Albania",31.4715787816091,NA,3.35000000000005,104.870693430657,13.75,NA,100,126.138482602815,3.95463991165161,NA,1.24417512390738,11883682170.8236,18.2006025215914,40.617,22.6386856858748
"Alemania",NA,NA,2.2422350985948,236.678002633387,3.74600005149841,2.93949,100,197.228258097424,NA,2.93949,1.22013587055547,3495162856297.22,12.028767360745,22.739,33.6701396839936
"Andorra",NA,NA,1.8891243866394,163.755319148936,NA,NA,100,NA,3.25670003890991,NA,NA,2877311946.90265,10.3076213949548,11.85,1.65957440721228
"Angola",NA,NA,-2.58009724295775,23.8904251223229,7.13899993896484,NA,40.5206069946289,7.98274294483418,NA,NA,2.20133813767605,101123851090.473,32.3885049076425,35.161,3.93037619314992
"Antigua y Barbuda",63.114236768551,3.8,5.58973913496703,231.845454545455,NA,NA,97.3546676635742,13.8700002431869,NA,NA,NA,1464630213.33333,18.6223428464755,75.287,9.09090909090909
"Arabia Saudita",74.3750354978215,2.7,1.67064234738177,15.3223083328294,5.8899998664856,NA,100,176.873741731378,NA,NA,10.2886710302592,644935541440,87.9454466778152,16.378,1.61744251496727
"Argelia",9.38457259774621,NA,3.29999999975597,17.3478809609781,11.996000289917,NA,99.439567565918,22.3152731748937,NA,NA,5.70823510813507,160129866569.935,38.8840106983002,27.948,3.10873571225764
"Argentina",59.3912567589881,5,-1.82254217028903,16.1768563483624,8.34700012207031,0.53274,100,50.3363313137755,5.57217979431152,0.53274,0.909662993261877,554860945013.62,13.311833946835,8.251,14.3238729998648
"Armenia",63.6900559474269,NA,0.200000000000003,102.931155602388,17.8269996643066,0.23305,100,110.495136158374,2.75812005996704,0.23305,3.96803936744534,10546135160.031,32.5281183420597,36.897,15.6796625885663
"Aruba",124.985534081704,NA,-0.211225105612556,584.8,NA,NA,95.5701446533203,NA,6.14321994781494,NA,NA,2646927374.30168,NA,56.707,11.1111111111111
"Australia",162.006414229827,3.8,2.82731051096303,3.19836141871706,5.5939998626709,NA,100,68.103696143155,NA,NA,1.9892926317847,1208039015868.39,8.55032440147794,14.096,5.98646389374963
"Austria",115.303520800955,NA,2.03957498344849,106.607445296677,5.49900007247925,3.08695,100,141.837426373666,NA,3.08695,0.729355232450811,394052818287.788,12.4779667308248,41.906,16.2923066545726
"Azerbaiyán",32.127577209281,NA,-3.10000020204575,119.197205757832,5,0.20637,100,14.0928462278014,2.90340995788574,0.20637,3.93739993685592,37867518957.1975,19.9286636166698,44.657,24.1804765936857
"Bahamas",115.105534604794,NA,-1.68954985564559,39.4966033966034,12.3809995651245,NA,100,144.017499923706,NA,NA,NA,11838800000,17.3677204858567,17.075,0.799200799200799
"Bahrein",NA,2,3.47092370171953,1918.4883566226,0.947000026702881,NA,100,1318.74998034909,NA,NA,4.12382633970671,32250132978.7234,70.8162076823101,10.814,2.05655521989817
"Bangladesh",8.07270767848028,0.6,7.1134894741232,1265.03611431205,4.37200021743774,NA,75.92,289.402271616143,1.53553998470306,NA,1.380750413766,221415188000.475,60.8457845768598,64.142,59.646692486268
