codigo_dane_departamento,departamento,codigo_dane_municipio,municipio,desagregacion_cultivo,cultivo,ciclo_del_cultivo,grupo_cultivo,subgrupo,year_es,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,nombre_cientifico_del_cultivo,codigo_del_cultivo,estado_fisico_del_cultivo
5,Antioquia,5001,Medellín,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,465,417,517,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5001,Medellín,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,450,394,452,1.15,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5001,Medellín,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,437.58,378.22,276.1006,0.73,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5001,Medellín,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,420.87,387.08,241.18,0.62,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5001,Medellín,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,368.73,335.26,238.66,0.71,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5002,Abejorral,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,2978,2326,3093.58,1.33,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5002,Abejorral,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,3003,2506,3089,1.23,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5002,Abejorral,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,3025.74,2474.81,3736.9631,1.51,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5002,Abejorral,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,3049.73,2579.18,3079.99,1.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5002,Abejorral,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,3082.68,2635.04,4227.96,1.6,Coffea arabica,2030300,Pergamino o seco de trilla
